iter	Passed	Remaining
1048	22764	20637
1049	22783	20613
1050	22807	20593
1051	22819	20563
1052	22839	20540
1053	22864	20521
1054	22889	20503
1055	22923	20492
1056	22956	20480
1057	22981	20461
1058	23026	20460
1059	23057	20447
1060	23079	20425
1061	23098	20401
1062	23120	20379
1063	23140	20356
1064	23158	20331
1065	23165	20297
1066	23172	20262
1067	23185	20232
1068	23205	20209
1069	23248	20206
1070	23274	20188
1071	23294	20165
1072	23317	20144
1073	23342	20125
1074	23382	20120
1075	23410	20103
1076	23446	20094
1077	23475	20078
1078	23495	20054
1079	23515	20031
1080	23528	20002
1081	23548	19979
1082	23569	19956
1083	23589	19933
1084	23597	19899
1085	23616	19876
1086	23628	19846
1087	23636	19812
1088	23658	19791
1089	23679	19769
1090	23730	19771
1091	23755	19752
1092	23767	19722
1093	23776	19690
1094	23795	19666
1095	23815	19643
1096	23834	19619
1097	23854	19596
1098	23879	19577
1099	23907	19560
1100	23933	19542
1101	23958	19523
1102	24005	19522
1103	24030	19503
1104	24051	19480
1105	24064	19451
1106	24084	19428
1107	24104	19405
1108	24116	19375
1109	24135	19351
1110	24155	19328
1111	24174	19305
1112	24194	19282
1113	24215	19259
1114	24237	19237
1115	24254	19212
1116	24276	19191
1117	24290	19162
1118	24311	19141
1119	24352	19133
1120	24379	19116
1121	24398	19092
1122	24416	19068
1123	24436	19044
1124	24455	19020
1125	24474	18996
1126	24493	18973
1127	24512	18949
1128	24532	18926
1129	24551	18902
1130	24570	18878
1131	24586	18852
1132	24604	18828
1133	24623	18804
1134	24642	18780
1135	24661	18756
1136	24681	18733
1137	24700	18709
1138	24718	18685
1139	24739	18662
1140	24762	18642
1141	24783	18620
1142	24803	18596
1143	24822	18573
1144	24835	18544
1145	24847	18516
1146	24865	18491
1147	24883	18467
1148	24901	18443
1149	24920	18419
1150	24933	18391
1151	24953	18368
1152	24971	18344
1153	24991	18321
1154	25009	18297
1155	25028	18273
1156	25047	18249
1157	25065	18225
1158	25087	18204
1159	25107	18181
1160	25126	18157
1161	25146	18134
1162	25165	18111
1163	25185	18088
1164	25212	18070
1165	25231	18047
1166	25241	18017
1167	25260	17993
1168	25280	17971
1169	25296	17945
1170	25314	17921
1171	25333	17897
1172	25352	17874
1173	25374	17852
1174	25385	17823
1175	25405	17801
1176	25424	17777
1177	25440	17752
1178	25459	17728
1179	25478	17705
1180	25493	17679
1181	25518	17659
1182	25522	17626
1183	25547	17607
1184	25565	17582
1185	25587	17561
1186	25612	17542
1187	25633	17520
1188	25655	17499
1189	25704	17496
1190	25728	17476
1191	25747	17453
1192	25768	17431
1193	25789	17408
1194	25809	17386
1195	25819	17356
1196	25832	17329
1197	25851	17306
1198	25868	17281
1199	25889	17259
1200	25914	17240
1201	25934	17217
1202	25954	17194
1203	25974	17172
1204	25994	17149
1205	26014	17127
1206	26034	17104
1207	26053	17081
1208	26069	17055
1209	26087	17032
1210	26107	17009
1211	26127	16987
1212	26148	16965
1213	26171	16944
1214	26193	16923
1215	26213	16900
1216	26233	16878
1217	26254	16856
1218	26284	16840
1219	26311	16822
1220	26332	16800
1221	26366	16786
1222	26389	16765
1223	26416	16748
1224	26448	16732
1225	26472	16712
1226	26492	16690
1227	26511	16666
1228	26537	16647
1229	26562	16628
1230	26585	16607
1231	26611	16589
1232	26626	16563
1233	26672	16556
1234	26714	16547
1235	26747	16533
1236	26774	16514
1237	26804	16498
1238	26831	16479
1239	26853	16458
1240	26876	16437
1241	26900	16417
1242	26920	16394
1243	26946	16376
1244	26986	16365
1245	27020	16350
1246	27054	16337
1247	27090	16323
1248	27102	16296
1249	27115	16269
1250	27154	16257
1251	27215	16259
1252	27262	16253
1253	27300	16241
1254	27339	16229
1255	27381	16219
1256	27397	16194
1257	27434	16181
1258	27466	16165
1259	27508	16155
1260	27528	16132
1261	27546	16108
1262	27553	16078
1263	27591	16066
1264	27631	16054
1265	27660	16036
1266	27674	16010
1267	27742	16015
1268	27798	16012
1269	27841	16003
1270	27875	15988
1271	27907	15972
